"","observation","kingdom","family","genus","specname","longitude","latitude"
"733795",1955872,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-98.644405,19.098009
"734237",1956777,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-71.851198,44.794605
"734697",1958358,"Fungi","Amanitaceae","Amanita","Amanita bisporigera",-98.6736056904,20.2995546422
"734716",1958467,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-98.7856852865,20.2127189146
"734756",1958610,"Fungi","Amanitaceae","Amanita","Amanita bisporigera",-98.6854801659,20.2138125546
"734757",1958615,"Fungi","Amanitaceae","Amanita","Amanita muscaria muscaria",-98.7152215266,20.341937912
"734758",1958619,"Fungi","Amanitaceae","Amanita","Amanita muscaria flavivolvata",-98.7817128523,20.377232503
"734760",1958621,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-98.6057826432,20.2749343466
"734763",1958624,"Fungi","Amanitaceae","Amanita","Amanita pantherina",-98.6242164787,20.2377889938
"734771",1958646,"Fungi","Amanitaceae","Amanita","Amanita muscaria flavivolvata",-98.6356819967,20.2118265566
"734799",1958692,"Fungi","Amanitaceae","Amanita","Amanita bisporigera",-98.6844503045,20.2443806186
"735445",1960668,"Fungi","Amanitaceae","Amanita","Amanita pekeoides",172.392225,-42.48172
"735943",1962147,"Fungi","Amanitaceae","Amanita","Amanita muscaria",4.8961864448,52.3673031752
"736068",1962497,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-97.142113,19.525443
"737557",1966355,"Fungi","Amanitaceae","Amanita","Amanita pantherina",10.5807846139,52.7925517935
"737577",1966411,"Fungi","Amanitaceae","Amanita","Amanita virosa",10.4728564514,52.6403346804
"737630",1966530,"Fungi","Amanitaceae","Amanita","Amanita fulva",10.5782990818,52.6965981554
"738217",1968154,"Fungi","Amanitaceae","Amanita","Amanita pantherina",10.556166,52.262944
"738221",1968159,"Fungi","Amanitaceae","Amanita","Amanita rubescens",10.554771,52.263391
"738227",1968170,"Fungi","Amanitaceae","Amanita","Amanita phalloides",10.550008,52.267015
"738762",1969411,"Fungi","Amanitaceae","Amanita","Amanita pantherina",-120.606055,39.31112
"740202",1973735,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-92.460937,48.922499
"741059",1976393,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-91.2125,47.4045
"741061",1976397,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-91.1876666667,47.3401666667
"744344",2000287,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-125.42913,50.128
"744627",2000944,"Fungi","Amanitaceae","Amanita","Amanita muscaria",9.99542482,53.43217879
"745181",2002382,"Fungi","Amanitaceae","Amanita","Amanita muscaria",37.87286,56.101161
"745826",2003845,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-135.3037333,57.04453198
"746204",2004880,"Fungi","Amanitaceae","Amanita","Amanita muscaria",11.4594,50.1333611667
"746430",2005333,"Fungi","Amanitaceae","Amanita","Amanita muscaria",6.531909,50.418417
"746731",2006113,"Fungi","Amanitaceae","Amanita","Amanita muscaria",12.6320566667,51.3184
"747535",2008161,"Fungi","Amanitaceae","Amanita","Amanita rubescens",25.00490297,60.2194678
"751237",2018609,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-71.851224,44.794761
"751487",2019360,"Fungi","Amanitaceae","Amanita","Amanita rubescens",24.857619,60.218063
"751507",2019421,"Fungi","Amanitaceae","Amanita","Amanita fulva",24.850355,60.218211
"752176",2021302,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-74.259406,44.448495
"752177",2021305,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-74.259406,44.448495
"752178",2021306,"Fungi","Amanitaceae","Amanita","Amanita flavoconia",-74.259406,44.448495
"752199",2021373,"Fungi","Amanitaceae","Amanita","Amanita jacksonii",-74.289583,43.395902
"752201",2021375,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-74.259406,44.448495
"752202",2021376,"Fungi","Amanitaceae","Amanita","Amanita jacksonii",-74.289583,43.395902
"752504",2032781,"Fungi","Amanitaceae","Amanita","Amanita muscaria",6.602247,50.560832
"753496",2047020,"Fungi","Amanitaceae","Amanita","Amanita muscaria",8.880944,44.559635
"753498",2047026,"Fungi","Amanitaceae","Amanita","Amanita muscaria",8.8810484391,44.5595617918
"755509",2073922,"Fungi","Amanitaceae","Amanita","Amanita muscaria",10.585413,51.870794
"755558",2074227,"Fungi","Amanitaceae","Amanita","Amanita muscaria",10.59184,51.874779
"757100",2078780,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-81.350915,41.063159
"757283",2079120,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-72.769436,44.393628
"758840",2083256,"Fungi","Amanitaceae","Amanita","Amanita caesarea",8.770641,44.603485
"759080",2083869,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-81.5981646621,41.0133344107
"760620",2088034,"Fungi","Amanitaceae","Amanita","Amanita bisporigera",-81.41635767,41.55769093
"761109",2089327,"Fungi","Amanitaceae","Amanita","Amanita muscaria",23.891401,51.965741
"762347",2092263,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-0.671572,52.880762
"763188",2094856,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-96.481504,17.158588
"765452",2100906,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-0.671572,52.880762
"766915",2105957,"Fungi","Amanitaceae","Amanita","Amanita calyptroderma",-122.6163838059,38.3319013518
"766945",2106026,"Fungi","Amanitaceae","Amanita","Amanita caesarea",-93.60744,16.15064
"767029",2106170,"Fungi","Amanitaceae","Amanita","Amanita pantherina",7.99721,49.144085
"767652",2112118,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-0.68451,52.882933
"767780",2113591,"Fungi","Amanitaceae","Amanita","Amanita phalloides",8.696003,44.599463
"768024",2114368,"Fungi","Amanitaceae","Amanita","Amanita muscaria",8.40404,49.098068
"768465",2116940,"Fungi","Amanitaceae","Amanita","Amanita muscaria",0.950704,42.390501
"768897",2119875,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-72.951687,43.649903
"769345",2129500,"Fungi","Amanitaceae","Amanita","Amanita muscaria guessowii",-2.069277,40.666005
"770432",2163337,"Fungi","Amanitaceae","Amanita","Amanita rubescens",-79.051546678,36.0320140422
"770466",2163423,"Fungi","Amanitaceae","Amanita","Amanita muscaria guessowii",-79.05094,36.0308
"770596",2163899,"Fungi","Amanitaceae","Amanita","Amanita jacksonii",-79.04914977,36.02899323
"770626",2163965,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-72.4187099051,44.2653920931
"772118",2197195,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-97.995794,19.217722
"773394",2226271,"Fungi","Amanitaceae","Amanita","Amanita calyptroderma",-123.316475,38.56637
"773395",2226275,"Fungi","Amanitaceae","Amanita","Amanita calyptroderma",-123.3167116667,38.5663
"773400",2226466,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-123.3188033333,38.569675
"773402",2226628,"Fungi","Amanitaceae","Amanita","Amanita calyptroderma",-123.31475,38.5772783333
"773404",2226721,"Fungi","Amanitaceae","Amanita","Amanita calyptroderma",-123.3110966667,38.579995
"773445",2227370,"Fungi","Amanitaceae","Amanita","Amanita calyptroderma",-123.3229966667,38.5851133333
"774767",2260110,"Fungi","Amanitaceae","Amanita","Amanita muscaria guessowii",-78.124222,35.010561
"775643",2277020,"Fungi","Amanitaceae","Amanita","Amanita phalloides",8.103722,44.924905
"776543",2293495,"Fungi","Amanitaceae","Amanita","Amanita muscaria",8.77305,44.558544
"776555",2293542,"Fungi","Amanitaceae","Amanita","Amanita rubescens",8.732715,44.614423
"778505",2308419,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.311645,47.6139
"779281",2310560,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-80.541544,42.631559
"780311",2313164,"Fungi","Amanitaceae","Amanita","Amanita muscaria",21.4995574951,41.3814455978
"781327",2315881,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-120.376655,39.397575
"783475",2329650,"Fungi","Amanitaceae","Amanita","Amanita pantherina",8.209533,45.215064
"783476",2329653,"Fungi","Amanitaceae","Amanita","Amanita vaginata",8.209503,45.215
"784582",2332420,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-85.0568,35.2990583333
"784605",2332531,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-1.5374879623,53.7980176695
"784634",2332654,"Fungi","Amanitaceae","Amanita","Amanita phalloides",8.209547,45.214881
"785643",2335128,"Fungi","Amanitaceae","Amanita","Amanita citrina",8.260869,45.226674
"786962",2339128,"Fungi","Amanitaceae","Amanita","Amanita muscaria",8.260869,45.226674
"788097",2342172,"Fungi","Amanitaceae","Amanita","Amanita pantherina",19.854124,44.240282
"788719",2343606,"Fungi","Amanitaceae","Amanita","Amanita muscaria",20.006522,44.121046
"789397",2345454,"Fungi","Amanitaceae","Amanita","Amanita muscaria",20.005331,44.11725
"792048",2352702,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-1.1700841784,53.128698701
"792565",2353921,"Fungi","Amanitaceae","Amanita","Amanita muscaria",8.772622,44.558831
"793117",2355588,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-112.451121,34.496913
"793891",2357079,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-121.571478,46.7316
"796379",2363356,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.3039383333,47.6390883333
"796390",2363393,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.3106783333,47.623325
"799422",2370664,"Fungi","Amanitaceae","Amanita","Amanita mairei",8.300955,45.160197
"800902",2374452,"Fungi","Amanitaceae","Amanita","Amanita vaginata",-124.071894,40.96137
"800933",2374563,"Fungi","Amanitaceae","Amanita","Amanita smithiana",-123.969508,41.845483
"802480",2378475,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-95.04945,31.19176
"806064",2389542,"Fungi","Amanitaceae","Amanita","Amanita caesarea",-95.522363,30.620904
"808976",2395975,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-0.67067,52.883492
"809978",2398759,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-103.608333,19.563333
"810497",2400175,"Fungi","Amanitaceae","Amanita","Amanita mairei",8.666563,44.994372
"811141",2401687,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.148485,37.806784
"813969",2409449,"Fungi","Amanitaceae","Amanita","Amanita rubescens",-94.110893,32.697945
"814321",2410229,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-97.108412,19.61599
"814340",2410278,"Fungi","Amanitaceae","Amanita","Amanita caesarea",-97.10573,19.615262
"815958",2416896,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-0.670692,52.880656
"818878",2429739,"Fungi","Amanitaceae","Amanita","Amanita muscaria",NA,NA
"819001",2429955,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-123.31847439,38.5676414
"819018",2430002,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-124.090721,44.383214
"819315",2430589,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-149.394643,60.762423
"825354",2445167,"Fungi","Amanitaceae","Amanita","Amanita muscaria muscaria",-72.767066,44.519497
"827993",2451506,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-76.0698619858,35.7144171093
"828097",2451746,"Fungi","Amanitaceae","Amanita","Amanita calyptroderma",-122.1408010103,37.0811255107
"828577",2452816,"Fungi","Amanitaceae","Amanita","Amanita nothofagi",172.223639,-42.348398
"829631",2454717,"Fungi","Amanitaceae","Amanita","Amanita nothofagi",174.534212,-36.927277
"832345",2460604,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-81.638546,30.511104
"836213",2470689,"Fungi","Amanitaceae","Amanita","Amanita muscaria guessowii",-77.23657,42.46208
"836216",2470695,"Fungi","Amanitaceae","Amanita","Amanita rubescens",-77.2363815278,42.4587287778
"836363",2470998,"Fungi","Amanitaceae","Amanita","Amanita calyptroderma",-122.109307,37.06856
"836466",2471172,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.308037,47.672462
"836613",2471622,"Fungi","Amanitaceae","Amanita","Amanita calyptroderma",-121.0873333333,39.0834195
"836756",2471984,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.3074638889,47.6296888889
"836931",2472319,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.9203705398,38.4032971971
"836960",2472421,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.9203533333,38.4032216667
"838959",2476780,"Fungi","Amanitaceae","Amanita","Amanita protecta",-122.75667,38.00111
"838966",2476796,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.75667,38.00111
"839053",2477008,"Fungi","Amanitaceae","Amanita","Amanita gemmata",-122.20898,37.161658
"839130",2477280,"Fungi","Amanitaceae","Amanita","Amanita calyptroderma",-122.066111,37.003966
"840007",2479120,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-84.7315563,33.7290225
"842045",2484073,"Fungi","Amanitaceae","Amanita","Amanita flavoconia",-103.531938,20.715497
"845901",2492948,"Fungi","Amanitaceae","Amanita","Amanita phalloides",-122.18888,37.308025
"846051",2493355,"Fungi","Amanitaceae","Amanita","Amanita calyptroderma",-122.0032813211,36.9532559596
"846073",2493392,"Fungi","Amanitaceae","Amanita","Amanita nothofagi",175.086908,-41.052428
"846336",2494172,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-121.9227142334,36.5537223816
"847570",2497410,"Fungi","Amanitaceae","Amanita","Amanita constricta",-121.77443,36.245353
"848601",2499892,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.2809040308,37.2240379656
"848633",2499940,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.3979440697,37.0299655877
"850891",2506444,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-95.158846,30.121373
"851901",2508825,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-121.289365,38.152272
"851923",2508879,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-121.287329,38.153818
"851930",2508894,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-121.948135,36.516431
"851933",2508907,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-121.289184,38.151451
"853165",2511495,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-121.292847,38.146277
"853184",2511519,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-121.29171,38.14858
"853186",2511523,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-121.291761,38.148641
"853251",2511650,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-123.330669,38.583969
"853843",2513102,"Fungi","Amanitaceae","Amanita","Amanita phalloides",-121.290158,38.150089
"854247",2515815,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.272167,37.209414
"855824",2529818,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.8544127933,38.3861982213
"856502",2534559,"Fungi","Amanitaceae","Amanita","Amanita magniverrucata",-121.77443,36.245353
"857270",2537892,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.342784,37.449514
"857917",2543019,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.245155,37.90213
"858214",2543573,"Fungi","Amanitaceae","Amanita","Amanita pachycolea",-122.872025,38.0829583333
"858219",2543581,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-74.618953,40.548952
"858221",2543584,"Fungi","Amanitaceae","Amanita","Amanita augusta",-122.8891966667,38.1016361667
"858229",2543601,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.88935,38.0998
"859219",2549831,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.068069458,37.0115470886
"859600",2552567,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.8664383333,38.1108388333
"859630",2552640,"Fungi","Amanitaceae","Amanita","Amanita calyptroderma",-122.063859,37.087087
"859903",2553555,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.8454366667,38.178455
"859921",2553585,"Fungi","Amanitaceae","Amanita","Amanita gemmata",-122.888855,38.0997916667
"859930",2553598,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.8891666667,38.0998888333
"859940",2553616,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.8900383333,38.099625
"859945",2553624,"Fungi","Amanitaceae","Amanita","Amanita augusta",-122.88848,38.1225083333
"859961",2553654,"Fungi","Amanitaceae","Amanita","Amanita smithiana",-122.9027416667,38.1246611667
"860567",2557147,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.2260820841,37.1006213483
"861857",2559740,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.4335166667,37.6854033333
"861895",2559849,"Fungi","Amanitaceae","Amanita","Amanita augusta",-122.201869,37.157551
"862606",2561640,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.33084,37.186215
"863809",2564678,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.8506616667,38.0592583333
"863810",2564679,"Fungi","Amanitaceae","Amanita","Amanita augusta",-122.8508916667,38.0592
"864025",2565201,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.473911401,37.6646771841
"864026",2565202,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.4739239739,37.6647423534
"864027",2565204,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.4743877778,37.6647128429
"865298",2568262,"Fungi","Amanitaceae","Amanita","Amanita gemmata",-122.5394354203,37.9220371507
"866216",2570499,"Fungi","Amanitaceae","Amanita","Amanita pantherina",-121.687545,36.79757
"866814",2571850,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.7170833689,38.4811140412
"866827",2571902,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-94.5173971633,32.6920255678
"868127",2574610,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-121.942282,36.515912
"868128",2574614,"Fungi","Amanitaceae","Amanita","Amanita augusta",-121.942282,36.515912
"868184",2574691,"Fungi","Amanitaceae","Amanita","Amanita phalloides",-122.514511,37.521819
"868354",2575145,"Fungi","Amanitaceae","Amanita","Amanita pantherina",-123.479934,48.932509
"868769",2576174,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.461817,37.795243
"869611",2579463,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.239401,37.869899
"871325",2583610,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.522213,37.82926
"874008",2589944,"Fungi","Amanitaceae","Amanita","Amanita gemmata",-121.6755133333,36.8030866667
"874759",2591762,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-121.7586370813,36.6429948183
"875080",2592434,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.712307,38.46155
"875210",2592742,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.5270843506,37.8281898499
"875787",2598530,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.063298,36.988602
"875885",2598826,"Fungi","Amanitaceae","Amanita","Amanita muscaria",172.473428,-43.641445
"876301",2599889,"Fungi","Amanitaceae","Amanita","Amanita muscaria",174.830236,-41.293112
"876554",2600713,"Fungi","Amanitaceae","Amanita","Amanita novinupta",-122.083074,36.977147
"876854",2601324,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.1799934899,36.8061705022
"877725",2603290,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.1602945,37.79515
"878060",2604350,"Fungi","Amanitaceae","Amanita","Amanita muscaria guessowii",-89.862231,46.032768
"878644",2606211,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-94.619211,32.796839
"878901",2606703,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.5087520734,37.5588477571
"878902",2606704,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.5816013623,37.5352266881
"879908",2608929,"Fungi","Amanitaceae","Amanita","Amanita pantherina",-123.465729,48.928815
"882079",2613432,"Fungi","Amanitaceae","Amanita","Amanita excelsa",172.6153866667,-43.5306666667
"882137",2613568,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-121.6818866667,36.8010866667
"883768",2617774,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.243671,37.406113
"884022",2618196,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-121.650781,36.853207
"885028",2620861,"Fungi","Amanitaceae","Amanita","Amanita muscaria",172.472438,-43.64155
"885470",2621896,"Fungi","Amanitaceae","Amanita","Amanita muscaria flavivolvata",-122.421649,37.719088
"885880",2623215,"Fungi","Amanitaceae","Amanita","Amanita pantherina",-121.6511,36.852901
"886113",2623732,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.1615106052,37.8136769854
"886120",2623741,"Fungi","Amanitaceae","Amanita","Amanita muscaria flavivolvata",-122.2443355463,37.8554314957
"887043",2625972,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.3566283333,37.2261666667
"887346",2626596,"Fungi","Amanitaceae","Amanita","Amanita gemmata",-122.6017478312,38.4383566329
"887430",2626740,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-97.014341,18.088831
"887865",2627605,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.3561027778,37.2263055556
"888032",2627980,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-100.191836,19.598768
"889780",2631596,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.1725912299,37.8107733552
"890268",2632652,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.17553,37.813775
"891759",2635953,"Fungi","Amanitaceae","Amanita","Amanita constricta",-122.1319666667,37.7961716667
"892306",2637497,"Fungi","Amanitaceae","Amanita","Amanita excelsa spissa",172.52363,-43.617205
"892678",2638338,"Fungi","Amanitaceae","Amanita","Amanita vaginata",-122.592187,37.947404
"892807",2638650,"Fungi","Amanitaceae","Amanita","Amanita vittadinii",35.680272,33.035029
"897437",2649627,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.8967805628,38.081587834
"898261",2651536,"Fungi","Amanitaceae","Amanita","Amanita muscaria guessowii",-75.385034,45.289947
"899018",2652955,"Fungi","Amanitaceae","Amanita","Amanita constricta",-122.1811916667,37.8098833333
"899031",2652988,"Fungi","Amanitaceae","Amanita","Amanita magniverrucata",-122.1575555,37.7925716667
"902785",2663549,"Fungi","Amanitaceae","Amanita","Amanita vernicoccora",-122.6207756457,38.4420577264
"903024",2664231,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.1693254952,37.8070342432
"905324",2671347,"Fungi","Amanitaceae","Amanita","Amanita ocreata",-120.8152752557,35.3023825726
"905454",2671564,"Fungi","Amanitaceae","Amanita","Amanita vernicoccora",-122.7549533333,38.518555
"910699",2683807,"Fungi","Amanitaceae","Amanita","Amanita excelsa spissa",172.523536,-43.61718
"911202",2685174,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-123.3329479337,38.5809261262
"911401",2685625,"Fungi","Amanitaceae","Amanita","Amanita gemmata",-122.266972,37.298532
"911602",2686070,"Fungi","Amanitaceae","Amanita","Amanita pantherina",-122.691728,38.573449
"912145",2687216,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.175705,37.8147883333
"912736",2688489,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.1366750392,37.7899477923
"912739",2688495,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.1433317068,37.7947195059
"913674",2690520,"Fungi","Amanitaceae","Amanita","Amanita protecta",-122.177389,37.320352
"914925",2693636,"Fungi","Amanitaceae","Amanita","Amanita muscaria",171.612625,-43.082649
"915188",2694375,"Fungi","Amanitaceae","Amanita","Amanita nothofagi",176.361895,-39.351489
"915357",2694842,"Fungi","Amanitaceae","Amanita","Amanita muscaria flavivolvata",-121.0947201123,35.5520046177
"915359",2694848,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-121.0948144925,35.5520134187
"915791",2695808,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-121.0933986287,35.5517400858
"915991",2696195,"Fungi","Amanitaceae","Amanita","Amanita vaginata",-122.3943783333,37.71643
"916485",2697282,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.1617821201,37.8153673882
"918243",2701109,"Fungi","Amanitaceae","Amanita","Amanita vernicoccora",-122.500858,38.368239
"918324",2701254,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.1776239047,37.3766554927
"918889",2702589,"Fungi","Amanitaceae","Amanita","Amanita pekeoides",170.59433,-45.772994
"918891",2702596,"Fungi","Amanitaceae","Amanita","Amanita pekeoides",170.5933,-45.769881
"919928",2705344,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.2883278504,37.4654323351
"920064",2705627,"Fungi","Amanitaceae","Amanita","Amanita pantherina",-122.1830966667,37.8375166667
"920739",2707122,"Fungi","Amanitaceae","Amanita","Amanita pantherina",-122.401578,37.67718
"920795",2707250,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.401578,37.67718
"920847",2707418,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.71276,38.461863
"920853",2707428,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.711695,38.461515
"921903",2709617,"Fungi","Amanitaceae","Amanita","Amanita gemmata",-122.398475,37.6770283333
"922336",2710562,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-74.392344,42.000351
"922890",2712417,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.551714,37.985916
"923446",2713899,"Fungi","Amanitaceae","Amanita","Amanita constricta",-122.4997466667,38.3676833333
"925441",2718511,"Fungi","Amanitaceae","Amanita","Amanita ocreata",-121.6806805556,36.8013888889
"925471",2718636,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.53447,37.9764966667
"926339",2720770,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-98.666883,19.286193
"928392",2727652,"Fungi","Amanitaceae","Amanita","Amanita vernicoccora",-123.02844278,38.71729461
"928485",2727848,"Fungi","Amanitaceae","Amanita","Amanita novinupta",-122.134935,37.808894
"928690",2728274,"Fungi","Amanitaceae","Amanita","Amanita vaginata",-122.1341464159,37.8085356401
"932059",2736372,"Fungi","Amanitaceae","Amanita","Amanita vernicoccora",-122.2437481955,38.2609966018
"933494",2739809,"Fungi","Amanitaceae","Amanita","Amanita pantherina",-122.0695571899,37.0067405701
"934348",2741895,"Fungi","Amanitaceae","Amanita","Amanita",-123.333927,38.577121
"937245",2748856,"Fungi","Amanitaceae","Amanita","Amanita magniverrucata",-120.6887133333,35.31157
"942585",2760985,"Fungi","Amanitaceae","Amanita","Amanita pekeoides",169.449799,-46.417526
"943299",2763070,"Fungi","Amanitaceae","Amanita","Amanita pantherina",-122.401407,37.678029
"945934",2769834,"Fungi","Amanitaceae","Amanita","Amanita novinupta",-122.399971,37.680766
"948500",2775690,"Fungi","Amanitaceae","Amanita","Amanita novinupta",-117.4077453745,33.6520398595
"951733",2782955,"Fungi","Amanitaceae","Amanita","Amanita muscaria",10.40543,42.7294783333
"952217",2784076,"Fungi","Amanitaceae","Amanita","Amanita 2 ridley",172.841377,-41.201713
"952387",2784475,"Fungi","Amanitaceae","Amanita","Amanita novinupta",-122.602583,37.962606
"952389",2784477,"Fungi","Amanitaceae","Amanita","Amanita ocreata",-122.6035842896,37.9683189392
"952739",2785278,"Fungi","Amanitaceae","Amanita","Amanita citrina",10.280645,42.821175
"954826",2790876,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-100.04635,19.041714
"956696",2795483,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.130958289,37.7533701668
"956884",2796072,"Fungi","Amanitaceae","Amanita","Amanita vernicoccora",-122.60269,37.983192
"957596",2797932,"Fungi","Amanitaceae","Amanita","Amanita novinupta",-122.06403,37.086188
"959340",2802620,"Fungi","Amanitaceae","Amanita","Amanita velosa",-121.8543130035,37.9580620034
