spec,carp_col,spor_col,comment
Amanita stranella E.-J. Gilbert & Snell,,,
Amanita strobiliformis (Paul. ex. Vitt.) Bertillon,,,
Amanita sturgeonii Tulloss Q. Cai and L.V. Kudzma nom. prov.,,,
Amanita suballiacea (Murrill) Murrill,,,
Amanita subcokeri Tulloss nom. prov.,,,
Amanita subgenus Amanitina (E.-J. Gilbert) E.-J. Gilbert,,,
Amanita subglobosa group,,,
Amanita submaculata Peck,,,
Amanita submembranacea (Bon) Gröger,,,
Amanita subnigra Lamoureux nom. prov.,,,
Amanita subnudipes (Romagn.) Tulloss,,,
Amanita subsect. Amanitella (Earle) Tulloss & Zhu L. Yang comb. prov.,,,
Amanita subsect. Gemmatae,,,
Amanita subsect. Limbatulae Bas,,,
Amanita subsect. Pantherinae,,,
Amanita subsect. Solitariae Bas,,,
Amanita subsect. Vittadiniae Bas,,,
Amanita subsolitaria (Murrill) Murrill,,,
Amanita subspissa E.-J. Gilbert,,,
Amanita subvirginiana group,,,
Amanita taiepa G.S. Ridl.,,,
Amanita tephrea Bas,,,
Amanita texasorora Tulloss Kudzma & D.P. Lewis nom. prov.,,,
Amanita thiersii Bas,,,
Amanita torrendii Justo,,,
Amanita toxica,,,
Amanita trygonion Tulloss Pastorino & Kudzma nom. prov.,,,
Amanita tullossii Guzmán & Ram.-Guill.,,,
Amanita tuza Guzmán,,,
Amanita umbrinolutea (Secr. ex Gillet) Bataille,brown,,
Amanita ushuaiensis group,,,
Amanita vaginata (Bull.) Lam.,,,
Amanita vaginata var. alba Gillet,,,
Amanita variicolor Y. Lamoureux nom. prov.,,,
Amanita velatipes G.F. Atk.,,,
Amanita veldiei D.A. Reid and Eicker ex Redhead,,,
Amanita velosa (Peck) Lloyd,brown,,
Amanita verna (Bull. : Fr.) Lam.,,,
Amanita vernicoccora Bojantchev & R.M. Davis,,,
Amanita virgineoides Bas,,,
Amanita virginiana (Murrill) Murrill,,,
Amanita virosa (Fr.) Bertill.,,,
Amanita virosiformis (Murrill) Murrill,,,
Amanita vittadinii (Moretti) Vitt.,,,
Amanita volvata (Peck) Lloyd,,,
Amanita volvata group,,,
Amanita wellsii (Murrill) Murrill,,,
Amanita wellsii group,,,
Amanita xanthocephala (Berk.) D.A. Reid & Hilton,,,
Amanita xanthomitra Tulloss nom. prov.,,,
Amanita xerocybe Bas,,,
Amanita xylinivolva Tulloss Ovrebo & Halling,,,
Amanita yema Guzman & Ram.-Guill.,,,
Amanitaceae E.-J. Gilbert,white,,
Amanita sp-M36,white,,
Amanita sp-MO01 Tulloss nom. prov.,brown,,
Amanita sp-MO02,,,
Amanita sp-MO03,yellow,,
Amanita sp-MO04,brown,,
Amanita sp-MO06 Tulloss & Kudzma cryptonom. temp.,brown,,
Amanita sp-N17,brown,,
Amanita sp-N24 Tulloss cryptonom. temp.,,,
Amanita sp-N40 Tulloss cryptonom. temp.,,,
Amanita sp-N51 Tulloss,,,
Amanita sp-N60,white,,
Amanita sp-N63,brown,,
Amanita sp-O02 Tulloss,brown,,
Amanita sp-ONT03 Tulloss,,,
Amanita sp-OR01 Tulloss nom. prov.,,,
Amanita sp-OR02,brown,,
Amanita sp-QUE04,grey,,
Amanita spreta group,,,
Amanita spreta (Peck) Sacc.,,,
Amanita sp-S01 Tulloss cryptonom. temp.,,,
Amanita sp-S04 Tulloss cryptonom. temp.,,,
Amanita sp-S10,red,,
Amanita sp-T06,,,
Amanita sp-T31,red,,
Amanita sp-T32 Tulloss cryptonom. temp.,,,
Amanita sp-T36 Tulloss nom. prov.,,,
Amanita sp-T45 Tulloss nom. prov.,,,
Amanita sp-T47,,,
Amanita sp-V01 Tulloss cryptonom. temp.,,,
Amanita sp-V02 Tulloss cryptonom. temp.,,,
Amanita sp-V03 Tulloss cryptonom. temp.,,,
Amanita sp-W15 Tulloss cryptonom. temp.,red,,
Amanita sp-WA03 Tulloss nom. prov.,,,
Amanita sp-WI01 Tulloss nom. prov.,brown,,
Amanita stannea nom. prov.,,,
Amanita stenospora,,,
Amanita stirps Bulbosa,white,,
Amanita stirps Crocea,orange,,
Amanita stirps Daucipes,,,
Amanita stirps Grossa,white,,
Amanita stirps Muscaria,orange,,voir jaune
Amanita stirps Solitaria,white,,
Amanita stranella E.-J. Gilbert & Snell,,,
Amanita strobiliformis (Paul. ex. Vitt.) Bertillon,white,,
Amanita sturgeonii Tulloss Q. Cai and L.V. Kudzma nom. prov.,white,,
Amanita suballiacea (Murrill) Murrill,white,,
Amanita subcokeri Tulloss nom. prov.,white,,
Amanita subgenus Amanitina (E.-J. Gilbert) E.-J. Gilbert,,,
Amanita subglobosa group,brown,,
Amanita submaculata Peck,,,
Amanita submembranacea (Bon) Gröger,,,
Amanita subnigra Lamoureux nom. prov.,grey,,
Amanita subnudipes (Romagn.) Tulloss,brown,,
Amanita subsect. Amanitella (Earle) Tulloss & Zhu L. Yang comb. prov.,white,,
Amanita subsect. Gemmatae,,,
Amanita subsect. Limbatulae Bas,white,,
Amanita subsect. Pantherinae,,,
Amanita subsect. Solitariae Bas,white,,
Amanita subsect. Vittadiniae Bas,,,
Amanita subsolitaria (Murrill) Murrill,white,,
Amanita subspissa E.-J. Gilbert,brown,,
Amanita subvirginiana group,,,
Amanita taiepa G.S. Ridl.,white,,
Amanita tephrea Bas,,,
Amanita texasorora Tulloss Kudzma & D.P. Lewis nom. prov.,brown,,
Amanita thiersii Bas,white,,
Amanita torrendii Justo,white,,
Amanita toxica,,,
Amanita trygonion Tulloss Pastorino & Kudzma nom. prov.,,,
Amanita tullossii Guzmán & Ram.-Guill.,,,
Amanita tuza Guzmán,,,
Amanita ushuaiensis group,,,
Amanita vaginata (Bull.) Lam.,,,
Amanita vaginata var. alba Gillet,white,,
Amanita variicolor Y. Lamoureux nom. prov.,brown,,
Amanita velatipes G.F. Atk.,,,
Amanita veldiei D.A. Reid and Eicker ex Redhead,,,
Amanita verna (Bull. : Fr.) Lam.,white,,
Amanita vernicoccora Bojantchev & R.M. Davis,yellow,,
Amanita virgineoides Bas,white,,
Amanita virginiana (Murrill) Murrill,,,
Amanita virosa (Fr.) Bertill.,,,
Amanita virosiformis (Murrill) Murrill,,,
Amanita vittadinii (Moretti) Vitt.,white,,
Amanita volvata group,,,
Amanita volvata (Peck) Lloyd,,,
Amanita wellsii group,red,,
Amanita wellsii (Murrill) Murrill,orange,,
Amanita whetstoneae Tulloss Goldman and Kudzma nom. Prov.,,,
Amanita xanthocephala (Berk.) D.A. Reid & Hilton,red,,
Amanita xanthomitra Tulloss nom. prov.,,,
Amanita xerocybe Bas,,,
Amanita xylinivolva Tulloss Ovrebo & Halling,yellow,,
Amanita yema Guzman & Ram.-Guill.,red,,
