"specname","latitude","longitude","carp_color","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","t_texture","drainage","awc_class","t_gravel","t_sand","t_silt","t_clay","t_usda_tex_class","t_ref_bulk_density","t_bulk_density","t_oc","t_ph_h2o","t_cec_clay","t_cec_soil","t_bs","t_teb","t_caco3","t_caso4","t_esp","t_ece","s_gravel","s_sand","s_silt","s_clay","s_usda_tex_class","s_ref_bulk_density","s_bulk_density","s_oc","s_ph_h2o","s_cec_clay","s_cec_soil","s_bs","s_teb","s_caco3","s_esp","s_ece","FOR_2000","GRS_2000","NVG_2000","sq1","sq2","sq3","sq4","sq5","sq6","sq7","URB_2000","WAT_2000"
"12338","Amanita muscaria var. guessowii Veselý",39.3529,-82.0394,"orange",110,128,34,8638,292,-75,367,198,-7,217,-7,1027,113,65,17,310,209,305,209,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,89.8918075561523,8.84199237823486,0,2,2,1,1,1,1,1,1.24795579910278,0
"12411","Amanita muscaria var. guessowii Veselý",35.65445,-83.0491,"orange",108,131,40,7051,266,-58,324,105,114,196,14,1423,146,94,10,388,312,374,349,2,4,4,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,2,0.1,60.2564010620117,30.0956058502197,0,2,2,2,1,1,1,2,0.523744106292725,0
"12428","Amanita muscaria var. guessowii Veselý",39.3529,-82.0394,"orange",110,128,34,8638,292,-75,367,198,-7,217,-7,1027,113,65,17,310,209,305,209,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,89.8918075561523,8.84199237823486,0,2,2,1,1,1,1,1,1.24795579910278,0
"12442","Amanita muscaria var. guessowii Veselý",39.3529,-82.0394,"orange",110,128,34,8638,292,-75,367,198,-7,217,-7,1027,113,65,17,310,209,305,209,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,89.8918075561523,8.84199237823486,0,2,2,1,1,1,1,1,1.24795579910278,0
"12471","Amanita muscaria var. guessowii Veselý",40.0851,-76.8845,"orange",109,112,31,8891,295,-66,361,156,-9,222,-9,1033,100,71,10,286,225,273,225,2,4,1,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,2,0.1,85.5547866821289,8.22850608825684,0,2,2,1,1,1,1,1,2.41849994659424,0
"12473","Amanita muscaria var. guessowii Veselý",37.94325,-81.2185,"orange",107,125,36,7928,275,-69,344,186,-1,205,-1,1134,130,78,15,337,247,332,247,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,83.1975631713867,8.18353652954102,0,2,2,1,1,1,1,1,8.60691452026367,0
"12475","Amanita muscaria var. guessowii Veselý",40.04345,-77.2615,"orange",101,112,31,8829,285,-74,359,148,-16,212,-16,1077,105,74,11,302,232,285,232,2,4,1,9,47,29,24,9,1.39,1.54,0.86,6.4,38,12,89,10,0,0,1,0.1,8,39,27,34,5,1.33,1.52,0.38,6.3,40,15,93,12.3,0,1,0.1,89.4660034179688,8.77069664001465,0,2,2,1,1,1,1,1,1.10389995574951,0
"12489","Amanita muscaria var. guessowii Veselý",40.13555,-76.8609,"orange",111,112,30,8931,299,-63,362,204,-6,225,-6,1015,98,70,10,282,222,270,222,2,4,1,9,47,29,24,9,1.39,1.54,0.86,6.4,38,12,89,10,0,0,1,0.1,8,39,27,34,5,1.33,1.52,0.38,6.3,40,15,93,12.3,0,1,0.1,85.5547866821289,8.22850608825684,0,2,2,1,1,1,1,1,2.41849994659424,0
"12582","Amanita muscaria var. guessowii Veselý",42.46045,-85.46985,"orange",86,112,29,9669,283,-100,383,196,-31,206,-44,919,99,40,23,278,152,274,159,2,4,1,4,47,32,21,9,1.41,1.42,0.82,6.2,35,11,88,8.3,0,0,1,0.1,5,40,29,31,5,1.34,1.5,0.39,6.2,33,12,87,9.6,0,1,0.1,48.4797019958496,5.16726875305176,0,1,1,1,1,1,1,1,1.5058000087738,0
"12851","Amanita muscaria var. guessowii Veselý",42.4608,-71.3495,"orange",90,118,31,8987,280,-94,374,-3,204,204,-29,1119,116,84,10,312,255,255,284,2,4,1,24,49,38,13,9,1.49,0.96,3.62,5,65,16,10,4.4,0,0,0,0.1,18,56,32,12,11,1.51,1.29,0.96,5.4,59,12,13,0.8,0,0,0.1,85.3956527709961,8.39974689483643,0,3,3,1,1,1,1,1,5.56153011322021,0
"13003","Amanita muscaria var. guessowii Veselý",39.3529,-82.0394,"orange",110,128,34,8638,292,-75,367,198,-7,217,-7,1027,113,65,17,310,209,305,209,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,89.8918075561523,8.84199237823486,0,2,2,1,1,1,1,1,1.24795579910278,0
"13006","Amanita muscaria var. guessowii Veselý",39.3529,-82.0394,"orange",110,128,34,8638,292,-75,367,198,-7,217,-7,1027,113,65,17,310,209,305,209,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,89.8918075561523,8.84199237823486,0,2,2,1,1,1,1,1,1.24795579910278,0
"13012","Amanita muscaria var. guessowii Veselý",39.3529,-82.0394,"orange",110,128,34,8638,292,-75,367,198,-7,217,-7,1027,113,65,17,310,209,305,209,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,89.8918075561523,8.84199237823486,0,2,2,1,1,1,1,1,1.24795579910278,0
"13026","Amanita muscaria var. guessowii Veselý",39.22,-81.115,"orange",112,132,36,8394,294,-69,363,216,-1,216,-1,1099,115,74,14,321,237,321,237,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,89.4082565307617,8.7304573059082,0,2,2,1,1,1,1,1,0.56879997253418,0
"13296","Amanita muscaria var. guessowii Veselý",41.0292,-82.126,"orange",92,112,30,9071,278,-87,365,184,-30,204,-30,953,101,53,20,296,180,288,180,2,4,1,4,47,32,21,9,1.41,1.42,0.82,6.2,35,11,88,8.3,0,0,1,0.1,5,40,29,31,5,1.34,1.5,0.39,6.2,33,12,87,9.6,0,1,0.1,18.0222568511963,2.37405228614807,0,1,1,1,2,1,1,1,1.33579993247986,0
"13300","Amanita muscaria var. guessowii Veselý",45.7998,-77.13975,"orange",53,113,25,10986,266,-169,435,187,-83,187,-96,824,83,50,15,238,161,238,172,1,6,5,4,85,11,4,12,1.73,1.36,2.09,4.5,98,10,16,2.5,0,0,1,0.1,5,84,11,5,12,1.7,1.51,0.59,4.8,63,4,23,1.6,0,2,0.1,27.1340274810791,9.80054569244385,0,3,3,2,1,1,1,2,19.114200592041,3.200199842453
"13320","Amanita muscaria var. guessowii Veselý",45.7998,-77.13975,"orange",53,113,25,10986,266,-169,435,187,-83,187,-96,824,83,50,15,238,161,238,172,1,6,5,4,85,11,4,12,1.73,1.36,2.09,4.5,98,10,16,2.5,0,0,1,0.1,5,84,11,5,12,1.7,1.51,0.59,4.8,63,4,23,1.6,0,2,0.1,27.1340274810791,9.80054569244385,0,3,3,2,1,1,1,2,19.114200592041,3.200199842453
"13539","Amanita muscaria var. guessowii Veselý",44.25665,-73.7905,"orange",51,120,29,9794,251,-153,404,162,-69,172,-81,978,112,56,19,298,181,297,189,1,6,5,4,85,11,4,12,1.73,1.36,2.09,4.5,98,10,16,2.5,0,0,1,0.1,5,84,11,5,12,1.7,1.51,0.59,4.8,63,4,23,1.6,0,2,0.1,90.3282623291016,9.09564876556396,0,2,2,3,1,1,1,3,0.448990285396576,0
"13615","Amanita muscaria var. guessowii Veselý",36.208,-81.6672,"orange",98,117,37,7127,252,-63,315,170,3,187,3,1473,138,102,10,405,316,397,316,2,4,4,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,2,0.1,53.6014251708984,23.3430347442627,0,3,2,2,1,1,1,2,5.20210027694702,0
"13622","Amanita muscaria var. guessowii Veselý",38.52075,-90.57225,"orange",125,128,32,9321,318,-77,395,125,-2,241,-2,995,106,51,19,294,185,268,185,2,4,1,4,47,32,21,9,1.41,1.42,0.82,6.2,35,11,88,8.3,0,0,1,0.1,5,40,29,31,5,1.34,1.5,0.39,6.2,33,12,87,9.6,0,1,0.1,38.9155807495117,3.78147792816162,0,1,1,1,1,1,1,1,15.4394006729126,0
"13860","Amanita muscaria var. guessowii Veselý",35.65445,-83.0491,"orange",108,131,40,7051,266,-58,324,105,114,196,14,1423,146,94,10,388,312,374,349,2,4,4,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,2,0.1,60.2564010620117,30.0956058502197,0,2,2,2,1,1,1,2,0.523744106292725,0
"14151","Amanita muscaria var. guessowii Veselý",40.8205,-74.3684,"orange",106,118,32,8803,293,-74,367,210,-11,217,-11,1245,120,79,11,342,269,331,269,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,42.9186668395996,4.23205280303955,0,2,1,1,1,1,1,1,51.1812019348145,0
"14152","Amanita muscaria var. guessowii Veselý",40.8387,-74.27835,"orange",105,113,31,8813,290,-73,363,209,-12,216,-12,1260,119,81,10,342,274,332,274,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,49.655818939209,4.88428068161011,0,2,1,1,2,1,1,1,40.4490776062012,2.74739980697632
"14161","Amanita muscaria var. guessowii Veselý",41.2008,-74.2043,"orange",97,114,31,8914,283,-83,366,143,-21,209,-21,1228,117,81,10,330,266,322,266,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,89.3572845458984,8.78941535949707,0,2,2,1,1,1,1,1,1.84832382202148,0
"14270","Amanita muscaria var. guessowii Veselý",40.82285,-74.34955,"orange",106,118,32,8803,293,-74,367,210,-11,217,-11,1245,120,79,11,342,269,331,269,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,42.9186668395996,4.23205280303955,0,2,1,1,1,1,1,1,51.1812019348145,0
"975","Amanita mutabilis Beardslee",39.98385,-74.12795,"white",116,108,31,8332,289,-54,343,217,152,221,7,1164,118,81,11,318,273,310,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1063","Amanita mutabilis Beardslee",29.6124,-82.40885,"white",205,130,48,5291,328,58,270,268,174,268,133,1346,201,58,41,547,190,547,277,1,6,3,19,82,10,8,12,1.62,1.4,0.7,5.4,27,4,38,1.7,0,0,3,0.1,10,81,11,8,12,1.62,1.5,0.31,5.2,22,3,79,2.8,0,4,0.1,47.5811653137207,4.71390724182129,0,2,2,1,1,1,1,1,39.5060005187988,0
"8231","Amanita mutabilis Beardslee",36.1913,-75.75645,"white",160,98,33,7146,304,8,296,246,125,250,66,1245,147,78,20,403,258,390,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.71340203285217,0.368462681770325,0,3,2,1,2,1,1,1,0.142799988389015,89
"9079","Amanita mutabilis Beardslee",29.76645,-81.259,"white",209,107,43,5054,323,75,248,267,152,268,140,1264,166,60,36,481,207,461,238,1,2,3,3,86,10,4,12,1.73,1.31,1.62,4.5,47,5,18,3.6,0,0,1,0.1,6,85,10,5,12,1.7,1.58,0.93,4.9,44,3,19,0.9,0,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"10052","Amanita mutabilis Beardslee",39.8175,-74.5353,"white",117,113,32,8364,294,-53,347,217,132,223,8,1128,118,79,12,319,262,313,262,1,6,3,4,85,11,4,12,1.73,1.36,2.09,4.5,98,10,16,2.5,0,0,1,0.1,5,84,11,5,12,1.7,1.51,0.59,4.8,63,4,23,1.6,0,2,0.1,90.3281784057617,8.88491916656494,0,3,3,1,1,1,1,1,0,0
"11903","Amanita nehuta G.S. Ridl.",-36.57385,174.687,"grey",152,81,47,3077,240,68,172,112,189,192,112,1385,158,90,20,455,277,288,455,3,4,1,4,29,25,46,3,1.26,1.27,1.07,4.6,13,11,38,5.7,0,0,1,0.1,4,23,22,55,3,1.23,1.27,0.46,4.9,12,9,23,2.7,0,1,0.1,8.5063648223877,37.2997245788574,0,3,2,1,1,1,1,1,1.43339991569519,51
"6411","Amanita nishidae Tulloss nom. prov.",31.9166,-109.268,"brown",90,154,49,5868,258,-56,314,159,120,167,18,663,139,12,66,329,60,290,148,2,4,3,20,50,29,21,9,1.42,1.5,0.4,7.3,47,7,100,14,0.5,0.1,6,0.1,27,44,28,28,5,1.37,1.47,0.28,7.3,58,11,100,14.6,3.8,4,9.7,90.2353286743164,9.49126052856445,0.273410797119141,1,1,4,1,1,1,4,0,0
"13094","Amanita nothofagi G. Stev.",-36.8525,174.769,"grey",152,80,46,3106,242,69,173,113,177,193,113,1269,142,68,19,399,255,259,399,2,4,1,5,31,49,20,9,1.39,0.76,7,6,93,29,14,8.8,0,0,1,0.1,10,33,45,22,9,1.38,0.8,1.91,6.3,99,34,32,4.7,0,1,0.1,0.190314739942551,2.95137977600098,14.9774990081787,1,2,1,1,1,1,1,76.3579940795898,5
"13140","Amanita nothofagi G. Stev.",-36.8525,174.769,"grey",152,80,46,3106,242,69,173,113,177,193,113,1269,142,68,19,399,255,259,399,2,4,1,5,31,49,20,9,1.39,0.76,7,6,93,29,14,8.8,0,0,1,0.1,10,33,45,22,9,1.38,0.8,1.91,6.3,99,34,32,4.7,0,1,0.1,0.190314739942551,2.95137977600098,14.9774990081787,1,2,1,1,1,1,1,76.3579940795898,5
"13762","Amanita nothofagi G. Stev.",-36.8525,174.769,"grey",152,80,46,3106,242,69,173,113,177,193,113,1269,142,68,19,399,255,259,399,2,4,1,5,31,49,20,9,1.39,0.76,7,6,93,29,14,8.8,0,0,1,0.1,10,33,45,22,9,1.38,0.8,1.91,6.3,99,34,32,4.7,0,1,0.1,0.190314739942551,2.95137977600098,14.9774990081787,1,2,1,1,1,1,1,76.3579940795898,5
"13","Amanita novinupta Tulloss & J. Lindgr.",35.75485,-120.6915,"white",150,183,55,5131,335,3,332,98,216,216,87,304,64,0,92,175,1,7,173,2,4,3,9,47,29,24,9,1.39,1.54,0.86,6.4,38,12,89,10,0,0,1,0.1,8,39,27,34,5,1.33,1.52,0.38,6.3,40,15,93,12.3,0,1,0.1,18.4242038726807,49.4138793945312,16.0841293334961,1,1,2,1,1,1,2,0.737709641456604,0
"96","Amanita novinupta Tulloss & J. Lindgr.",35.5823,-121.12,"white",137,128,64,2351,238,40,198,107,161,166,107,136,28,0,82,73,1,4,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6863813400269,1.47396242618561,0,1,1,1,1,1,1,1,1.70800352096558,85.885498046875
"118","Amanita novinupta Tulloss & J. Lindgr.",46.8976,-122.943,"white",103,113,45,4975,251,1,250,46,167,167,42,1272,202,21,61,598,96,96,549,2,4,1,5,46,30,24,9,1.39,1.3,1.73,5,19,9,27,2.5,0,0,1,0.1,7,41,26,33,5,1.34,1.35,0.77,5.2,15,7,21,3,0,1,0.1,57.7390747070312,9.86160278320312,0,2,2,1,1,1,1,1,1.62589991092682,0
"133","Amanita novinupta Tulloss & J. Lindgr.",38.1108,-122.869,"white",131,117,58,3034,240,39,201,96,164,168,92,952,204,2,90,518,12,18,518,2,4,1,7,39,38,23,9,1.38,1.33,1.83,6.4,55,18,87,11.4,0,0,1,0.1,3,43,35,22,9,1.4,1.39,0.64,6.8,64,16,92,12.2,0,1,0.1,64.305778503418,17.3393230438232,10.9868984222412,1,1,1,1,1,1,1,0.547800004482269,3.97129988670349
"134","Amanita novinupta Tulloss & J. Lindgr.",37.81525,-122.163,"white",142,112,53,3686,255,45,210,95,184,189,95,637,129,1,85,329,7,11,329,2,4,1,9,47,29,24,9,1.39,1.54,0.86,6.4,38,12,89,10,0,0,1,0.1,8,39,27,34,5,1.33,1.52,0.38,6.3,40,15,93,12.3,0,1,0.1,63.3303985595703,18.2643451690674,0,1,1,1,1,1,1,1,12.5765466690063,4.75119972229004
"143","Amanita novinupta Tulloss & J. Lindgr.",37.76785,-122.1285,"white",142,109,53,3550,250,46,204,96,181,187,96,609,125,1,87,316,7,10,316,2,4,1,9,47,29,24,9,1.39,1.54,0.86,6.4,38,12,89,10,0,0,1,0.1,8,39,27,34,5,1.33,1.52,0.38,6.3,40,15,93,12.3,0,1,0.1,63.3303985595703,18.2643451690674,0,1,1,1,1,1,1,1,12.5765466690063,4.75119972229004
"1782","Amanita novinupta Tulloss & J. Lindgr.",38.07845,-122.856,"white",128,113,58,3047,233,39,194,94,162,166,89,1057,223,2,89,574,13,19,567,2,4,1,7,39,38,23,9,1.38,1.33,1.83,6.4,55,18,87,11.4,0,0,1,0.1,3,43,35,22,9,1.4,1.39,0.64,6.8,64,16,92,12.2,0,1,0.1,63.876838684082,9.72312164306641,0,1,1,1,1,1,1,1,0.185300007462502,26
"1836","Amanita novinupta Tulloss & J. Lindgr.",34.0003,-120.0645,"white",147,96,61,2066,223,67,156,123,166,174,123,391,84,0,99,233,1,12,226,2,3,5,17,43,35,22,9,1.4,1.4,0.77,8,40,17,100,31.1,15,0,2,0.3,18,38,36,26,9,1.36,1.52,0.53,8.1,50,15,100,41.1,15,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0
"1875","Amanita novinupta Tulloss & J. Lindgr.",38.40325,-122.852,"white",135,147,58,3865,274,24,250,85,180,183,85,1022,225,2,91,568,12,19,568,2,4,1,7,39,38,23,9,1.38,1.33,1.83,6.4,55,18,87,11.4,0,0,1,0.1,3,43,35,22,9,1.4,1.39,0.64,6.8,64,16,92,12.2,0,1,0.1,61.4137954711914,19.0543403625488,0,1,1,1,1,1,1,1,0,0
"1883","Amanita novinupta Tulloss & J. Lindgr.",37.81525,-122.163,"white",142,112,53,3686,255,45,210,95,184,189,95,637,129,1,85,329,7,11,329,2,4,1,9,47,29,24,9,1.39,1.54,0.86,6.4,38,12,89,10,0,0,1,0.1,8,39,27,34,5,1.33,1.52,0.38,6.3,40,15,93,12.3,0,1,0.1,63.3303985595703,18.2643451690674,0,1,1,1,1,1,1,1,12.5765466690063,4.75119972229004
"1886","Amanita novinupta Tulloss & J. Lindgr.",37.948,-122.628,"white",129,106,54,3283,235,42,193,95,168,172,90,1057,217,2,88,566,13,19,556,2,4,1,7,39,38,23,9,1.38,1.33,1.83,6.4,55,18,87,11.4,0,0,1,0.1,3,43,35,22,9,1.4,1.39,0.64,6.8,64,16,92,12.2,0,1,0.1,78.640510559082,7.73528957366943,0,1,1,1,1,1,1,1,13.6241998672485,0
"1928","Amanita novinupta Tulloss & J. Lindgr.",35.20015,-120.7295,"white",141,120,65,2207,235,53,182,116,162,169,114,521,107,0,91,291,2,10,289,2,4,1,7,39,38,23,9,1.38,1.33,1.83,6.4,55,18,87,11.4,0,0,1,0.1,3,43,35,22,9,1.4,1.39,0.64,6.8,64,16,92,12.2,0,1,0.1,76.3566436767578,11.6397485733032,0,1,1,1,1,1,1,1,0.902837216854095,8
"1932","Amanita novinupta Tulloss & J. Lindgr.",35.20015,-120.7295,"white",141,120,65,2207,235,53,182,116,162,169,114,521,107,0,91,291,2,10,289,2,4,1,7,39,38,23,9,1.38,1.33,1.83,6.4,55,18,87,11.4,0,0,1,0.1,3,43,35,22,9,1.4,1.39,0.64,6.8,64,16,92,12.2,0,1,0.1,76.3566436767578,11.6397485733032,0,1,1,1,1,1,1,1,0.902837216854095,8
"1939","Amanita novinupta Tulloss & J. Lindgr.",35.20015,-120.7295,"white",141,120,65,2207,235,53,182,116,162,169,114,521,107,0,91,291,2,10,289,2,4,1,7,39,38,23,9,1.38,1.33,1.83,6.4,55,18,87,11.4,0,0,1,0.1,3,43,35,22,9,1.4,1.39,0.64,6.8,64,16,92,12.2,0,1,0.1,76.3566436767578,11.6397485733032,0,1,1,1,1,1,1,1,0.902837216854095,8
"1960","Amanita novinupta Tulloss & J. Lindgr.",37.2406,-122.0915,"white",127,122,53,4056,260,30,230,83,178,183,83,901,177,2,86,471,12,17,471,2,4,4,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,2,0.1,90.4800415039062,8.89985847473145,0,1,1,1,1,1,1,1,0.617960751056671,0
"2338","Amanita novinupta Tulloss & J. Lindgr.",46.8976,-122.943,"white",103,113,45,4975,251,1,250,46,167,167,42,1272,202,21,61,598,96,96,549,2,4,1,5,46,30,24,9,1.39,1.3,1.73,5,19,9,27,2.5,0,0,1,0.1,7,41,26,33,5,1.34,1.35,0.77,5.2,15,7,21,3,0,1,0.1,57.7390747070312,9.86160278320312,0,2,2,1,1,1,1,1,1.62589991092682,0
"2352","Amanita novinupta Tulloss & J. Lindgr.",48.82215,-124.1315,"white",87,90,37,5217,231,-7,238,30,155,156,25,1998,339,34,67,957,124,146,886,1,6,3,4,85,11,4,12,1.73,1.36,2.09,4.5,98,10,16,2.5,0,0,1,0.1,5,84,11,5,12,1.7,1.51,0.59,4.8,63,4,23,1.6,0,2,0.1,75.855224609375,6.74497604370117,0,3,3,1,1,1,1,1,0.474799990653992,16.9249992370605
"2353","Amanita novinupta Tulloss & J. Lindgr.",48.82215,-124.1315,"white",87,90,37,5217,231,-7,238,30,155,156,25,1998,339,34,67,957,124,146,886,1,6,3,4,85,11,4,12,1.73,1.36,2.09,4.5,98,10,16,2.5,0,0,1,0.1,5,84,11,5,12,1.7,1.51,0.59,4.8,63,4,23,1.6,0,2,0.1,75.855224609375,6.74497604370117,0,3,3,1,1,1,1,1,0.474799990653992,16.9249992370605
"2357","Amanita novinupta Tulloss & J. Lindgr.",37.87415,-122.2385,"white",141,104,53,3393,244,50,194,98,178,184,98,678,141,1,87,357,8,13,357,2,4,1,9,47,29,24,9,1.39,1.54,0.86,6.4,38,12,89,10,0,0,1,0.1,8,39,27,34,5,1.33,1.52,0.38,6.3,40,15,93,12.3,0,1,0.1,39.4408874511719,3.87951064109802,0,1,1,1,1,1,1,1,51.8397407531738,4.83419990539551
"3679","Amanita novinupta Tulloss & J. Lindgr.",36.9954,-122.043,"white",135,120,60,2837,237,40,197,100,167,171,100,769,170,2,91,432,9,14,432,2,4,1,7,39,38,23,9,1.38,1.33,1.83,6.4,55,18,87,11.4,0,0,1,0.1,3,43,35,22,9,1.4,1.39,0.64,6.8,64,16,92,12.2,0,1,0.1,11.8760414123535,1.16815710067749,0,1,1,1,1,1,1,1,42.9430084228516,44
"3759","Amanita novinupta Tulloss & J. Lindgr.",39.6535,-123.627,"white",109,143,53,4292,267,2,265,63,165,167,59,1523,280,3,84,798,25,43,774,2,4,1,5,46,30,24,9,1.39,1.3,1.73,5,19,9,27,2.5,0,0,1,0.1,7,41,26,33,5,1.34,1.35,0.77,5.2,15,7,21,3,0,1,0.1,91.004638671875,8.95146179199219,0,2,2,1,1,1,1,1,0.0438999980688095,0
"3771","Amanita novinupta Tulloss & J. Lindgr.",37.0841,-122.0615,"white",137,129,57,3511,257,33,224,94,179,183,94,825,178,2,91,455,9,15,455,2,4,1,7,39,38,23,9,1.38,1.33,1.83,6.4,55,18,87,11.4,0,0,1,0.1,3,43,35,22,9,1.4,1.39,0.64,6.8,64,16,92,12.2,0,1,0.1,89.7993011474609,8.83289909362793,0,1,1,1,1,1,1,1,1.36779999732971,0
"3788","Amanita novinupta Tulloss & J. Lindgr.",37.44215,-122.1845,"white",143,112,53,3584,249,39,210,97,186,188,97,481,99,1,87,255,6,9,255,2,4,1,7,39,38,23,9,1.38,1.33,1.83,6.4,55,18,87,11.4,0,0,1,0.1,3,43,35,22,9,1.4,1.39,0.64,6.8,64,16,92,12.2,0,1,0.1,12.7019309997559,5.13747882843018,5.58679962158203,1,1,1,1,1,1,2,75.5971984863281,0
"3811","Amanita novinupta Tulloss & J. Lindgr.",37.9667,-122.2625,"white",144,105,52,3402,248,49,199,99,180,185,99,657,143,1,90,356,7,11,356,2,4,1,9,47,29,24,9,1.39,1.54,0.86,6.4,38,12,89,10,0,0,1,0.1,8,39,27,34,5,1.33,1.52,0.38,6.3,40,15,93,12.3,0,1,0.1,43.0981636047363,9.0867805480957,2.26959991455078,1,1,1,1,1,1,1,40.0713996887207,5
"3860","Amanita novinupta Tulloss & J. Lindgr.",37.9786,-122.2935,"white",145,102,52,3278,246,52,194,101,179,183,101,654,143,1,90,356,7,10,356,2,4,1,9,47,29,24,9,1.39,1.54,0.86,6.4,38,12,89,10,0,0,1,0.1,8,39,27,34,5,1.33,1.52,0.38,6.3,40,15,93,12.3,0,1,0.1,43.0981636047363,9.0867805480957,2.26959991455078,1,1,1,1,1,1,1,40.0713996887207,5
"3865","Amanita novinupta Tulloss & J. Lindgr.",36.9954,-122.043,"white",135,120,60,2837,237,40,197,100,167,171,100,769,170,2,91,432,9,14,432,2,4,1,7,39,38,23,9,1.38,1.33,1.83,6.4,55,18,87,11.4,0,0,1,0.1,3,43,35,22,9,1.4,1.39,0.64,6.8,64,16,92,12.2,0,1,0.1,11.8760414123535,1.16815710067749,0,1,1,1,1,1,1,1,42.9430084228516,44
"3897","Amanita novinupta Tulloss & J. Lindgr.",37.87415,-122.2385,"white",141,104,53,3393,244,50,194,98,178,184,98,678,141,1,87,357,8,13,357,2,4,1,9,47,29,24,9,1.39,1.54,0.86,6.4,38,12,89,10,0,0,1,0.1,8,39,27,34,5,1.33,1.52,0.38,6.3,40,15,93,12.3,0,1,0.1,39.4408874511719,3.87951064109802,0,1,1,1,1,1,1,1,51.8397407531738,4.83419990539551
